Text,Label
﻿Diego Freitas e a jovem pobre q mora no morro sem instrução? E a criança q vai nascer e viver em pessimas condições e cair na criminalidade? e facil falar sobre proibição do aborto qundo se e homem de classe media.,1
"Moral e algo pessoal, não tente enfiar SEUS valores morais em outra pessoa, isso não existe. Sou a favor da legalização do aborto, não sou a favor do aborto. Isso e uma escolha da mulher afinal quem paga o pato depois somos nós mesmas não e? Quem quer abortar vai abortar sendo legal ou não e quem não quer abortar não vai fazer, sendo legal ou não. Ou vocêa acham que com a legalização do aborto vão ter Comerciais na TV falando e aí, ta sem nada pra fazer? Vamos fazer um abortinho.",1
"Eu acho engraçado que se posicionar sobre o útero alheio e mto facil! Se homem engravidasse aborto ja era legalizado, falar que e feio, crime e bla bla bla e facil.... Pílula do dia seguinte falha, camisinha estoura, Diu sai do lugar e um monte de outras coisas acontecem são adversidades.... Enfiar criança no orfanato tmbm não e a melhor opção, e duvido que se um cara estupra alguem próximo de vcs, se no caso não seriam a favor da morte dele alias ja são nascidos ne? Aí pode matar! Vcs são a favor do nascimento e não da vida! Quem e contra não precisa abortar, mas pelo menos não fique colocando seus morais ridículos em cima de quem quer fazer!",1
"Adriano Barboza Da mesma forma como vc demonstrou um ótimo conhecimento afirmando que sexo gera filhos, você tambem deveria saber que um aglomerado de celulas que nem sistema nervoso tem, que nem e capaz de sentir ou perceber absolutamente NADA, e que nunca foi nada, simplesmente não e nada. Não e vida. e uma pena que essa demência coletiva conhecida como Religião lava o cerebro das pessoas para fazê-las acreditar no contrario.",1
"a vida termina qnd acaba atividade cerebral, entao pela logica ela começa qnd tem atividade cerebral (aos 3 meses de gravidez). isso e consenso cientifico e na vdd mto facil de entender, um feto (antes dos 3 meses) n e uma vida, um bb inocente. e um potencial de vida. c a legalizaçao, aborta quem quer e ngm mais morre em clinica clandestina. facil dmais",1
"Sendo crime ou não, as mulheres vão continuar a realizar porque e um direito delas. O corpo e delas. O feto não possui sistema nervoso antes dos 3 meses e não sente nada. Camisinha e pílula podem falhar e aí? O casal e obrigado a ter o filho por um metodo falho? E se o casal simplesmente não quiser ter um filho agora? E se o casal achar que não são estaveis o suficiente pra cria-lo? E por ser criminalizado, clínicas e metodos clandestinos são mais comuns do que se tivessem apoio do governo, matando muitas gravidas de infecções, doenças e material não esterilizado!",1
"Concordo com você. Antes abortar de forma segura uma gravidez indesejada, não planejada ou inviavel (caso não saibam, para criar uma criança e necessario ter uma renda, condições de ofertar o mínimo para ela) o aborto vai continuar, sendo legal ou não, o único lado ruim disso tudo e que, para as mulheres pobres, o risco e muito maior, pois, para quem tem dinheiro, e feito com segurança e em clinicas renomadas, só não consegue ver isso quem não quer.",1
"Adriano, um bebê recem nascido vive fora da barriga da mãe, tanto que pode ser dado pra adoção. Agora vamos pensar um pouco, talvez a gente possa colocar o feto pra adoção ne? Pra que esperar a barriga crescer? Vamos deixar que outra pessoa cuide desse pequeno ser humano cheio de sentimentos! O meu ponto e: um feto não possui nem sistema nervoso e depende exclusivamente da mulher para se desenvolver. Logo, ele faz parte de seu corpo, sendo, portanto, de sua responsabilidade e escolha. O que o Estado tem a ver com o corpo dessa mulher e com o que cresce dentro dele? Não estou falando que todas devem abortar, mas defendo o direito a liberdade para fazê-lo em segurança. Ah, e antes que você diga que se minha mãe tivesse me abortado eu não estaria aqui: não faria diferença, porque eu não teria mesmo consciência do que e viver.",1
"Philipe Luiz Zen Gonçalves oh God... mais uma vez.... Grande coisa! Da pra comparar msm ne... pagar pensão alimentícia (esmola, essa e a verdade) se compara bastante cm a responsabilidade q a mulher vai ter cm a criança. Aham. Ah, e sobre a lei do abandono de incapaz, só um esclarecimento: não se aplica a esses casos de pai q abandonou a mãe e o filho ta? A lei do abandono de incapaz e OUUUUTRA COISA.",1
"o espermatozóide e uma celula viva, daí pode matar. entretanto, ele entra no óvulo, continua sendo uma celula, mas aí não pode mais matar. Acreditem em quem quiser. Eu acredito na posição de quem estudou, e não de fanaticos religiosos que só falam besteiras e contos de fadas. E o aborto e legalizado a muito tempo para quem tem dinheiro. Segundo a lógica, e melhor deixar uma mulher adulta morrer do que matar uma celula. Querem que o filho seja uma punição para a pessoa que transou com irresponsabilidade (esqueceu um dia de tomar o anti, o telefone tocou e esqueceu de gozar fora, entre outros). Um filho tem que vir ao mundo sendo desejado e deve receber muito amor. Um filho na obrigação tras dor pra mãe e pra criança. O que e mas cruel? Matar uma celula ou fazer uma criança nascer onde não era bem vinda?",1
"Gibran Sarmento ah va que o genoma e diferente do da mãe, realmente, tem que ser biólogo pra saber disso. Deve ser pq o feto tem um PAI tambem, o q vocês esquecem quando falam de aborto, ne? Sem sistema nervoso central formado sente como? Aborto legal e pelo SUS ate os 3 meses de gestação, seguiremos lutando...",1
"Gibran Sarmento, existe aborto seguro, mais seguro do que a gravidez. Desde q seja em uma clínica bem esterilizada, com profissionais de saúde e etc. Hj a mortalidade materna e alta devido a abortos pq os abortos são clandestinos e feitos por pessoas q nem da area da saúde são, quem dira medicos. Mulher q tem R$5mil p pagar medico formado p fazer, não tem complicações pós aborto",1
"Clinicas particulares fazerem abortos e o principal objetivo da legalização. Não, ao meu ver os principais objetivos da legalização ampla são diminuir a mortalidade das mulheres que abortam e tornar a opção de aborto acessível para todos.",1
"Com o SUS sucateado, só vai recorrer a ele quem nao puder pagar. Mas e daí? A realidade hoje e que quem e pobre recorre a uma clínica muito suspeita ou tenta algum aborto caseiro frequentemente catastrófico.",1
"Everton da Luz e pq os homens acham que e facil pra mulher. Eu cresci numa família miseravel. Minha mãe tomava pilula e engravidou. Passei fome a minha visa inteira. Não tinha roupa, só trapo, não tinha sapatos. Então e facil falar. Conviver com a miseria sim e doloroso. Não acho justo uma criança nascer pra sofrer tanto assim.",1
"Com isso minha mãe sofreu muito para me sustentar; eu me orgulho sim de ter nascido, mas se hoje, em pleno 2016 uma menina da mesma idade que a minha mãe tinha quando eu nasci(21 anos) por acaso engravidasse e quisesse fazer um aborto, com certeza eu apoiaria.. Não e facil pra ninguem ter um(a) filho(a) muito jovem e não ter estrutura financeira para isso..",1
"Washington Nascimento quem contou essa história absurda que só podre aborta?!, a questão e diferente, são mais podres que morrem sem assistência adequada, aborto e uma opção do casal envolvido, ninguem por qq motivo que seja deve ter uma criança sem a intenção de ama-la!",1
"Eu discordo de você. Aborto não e somente uma questão de saúde publica, mas sim tambem de educação, assim como apredemos sobre DSTs e contraceptivos nas escolas. E tambem não e justo, alem de todos os impostos absurdos que pagamos, termos que bancar com os gastos de uma gravidez indesejada de uma pessoa imprudente. Toda mulher que se preze sabe que as pilulas nao sao 100% seguras, todos os medicos recomendam que mesmo usando pilula deve-se usar camisinha. Então não ha justificativa para gravidez indesejavel. Defendo sim o aborto em casos de estupro e anencefalia. Mas abortar, por simplismente nao querer um filho, e um absurdo. Na Terra ninguem e mais importante que ninguem, minha vida nao pode ser mais importante que a do meu filho. è o pensamento mais egoista e sem amor que ja ouvi.",1
"O aborto descriminalizado e realidade em muitos países (em geral mais desenvolvidos e laicos que o nosso). E nesses países, onde o Estado da todo o respaldo clínico e psicológico as mulheres, a taxa de ocorrências e bem menor do que quando era criminalizado. E elas não morrem.",1
"Vamos por partes: Sti, se eu não te considero vida posso te matar? não, porque eu sou uma pessoa ja formada que sente, fala, etc. Quando se fala de um embrião a coisa muda, não se fala com um embrião. Geralmente apenas o religiosos consideram o embrião uma vida. Eu considero vida apenas o feto que ja formou seu tubo neural, podendo assim então sentir dor. Antes disso ele e apenas um bolo de celula capaz de sentir coisa alguma. Se você for religioso e considerar o embrião uma vida, saiba que em clínicas que realizam fertilização artificial, os óvulos sal fecundados gerando assim vidas que são descartadas a cada 5 anos mais ou menos. Ou seja, pra você, isso tambem deve ser homicídio de um ser inocente.",1
"O aborto acontece, sendo legalizado ou não. A questão aqui e: devo deixar as mulheres pobres que abortam morrerem? Levando em consideração que quem tem mais grana vai numa clínica medica boa, com medicos de verdade e toda a segurança necessaria.",1
"e q as pessoas acham q no momento q legalizar, vai virar a festa da uva! Q as mulheres vão abdicar d outros metodos contraceptivos e vão todas abortar! Todos os meses! Pq e mais facil mesmo ter instrumentos cirúrgicos raspando suas entranhas sob anestesia geral, lenta recuperação, sangramento por dias...",1
"E você tem NOÇÃO do quanto a justiça e burocratica para esse tipo de caso de reconhecimento e pensão? Você sabe o DESGASTE que e pra uma mulher com uma situação financeira fodida que não tem dinheiro nem pra advogado, e que banca uma criança (que nasceu por falha de metodo anti contraceptivo) sozinha, pra conseguir ir a justiça requerer pensão?",1
"Minha mãe, era totalmente sem condições, vivia com o meu pai que só dormia o dia inteiro, eles tinham uma mercearia, minha mae nao podia fazer nada, apenas atender a mercearia e fazer comida e lavar roupa e ajeitar a casa tudo sozinha, ela ja tinha 2 filhos.. quando eu nasci, meu pai nem pra levar ela na maternidade levou, e eu ja estava nascendo, ela tinha que carregar malas pesadas, eu só nasci e ela ja teve que vir trabalhar, quase no mesmo dia que eu nasci, ela ja teve que trabalhar, se nao bastasse isso, meu pai era bebado e era viciado em poker, toda noite ela tinha que fazer comida pra todos os caras la que jogavam com ele e levar la depois que ela fechava a mercearia, eu sempre penso, que eu nao queria que ela tivesse passado por nada disso ela poderia muito bem ter me abortado, ela nao tinha condições realmeeente, e eu sei que o aborto era a melhor opção dela, e não a culpo em naddaaa por chegar a pensar nisso, por que eu realmente sei o quanto ela sofreu, hoje, eu nem olho pro meu pai, se nao bastasse isso ele nem me dava atenção, minha mae tinha que cuidar da mercearia e de mim, alem de chegar bebado em casa e bater nela.. qualquer uma nessa situação chegaria a pensar em abortar, hoje nem olho pra ele por o tanto que ele fez a minha mae sofrer.",1
"E vocês acham isso bonito, Senado? Em pleno seculo XXI? Código Penal nenhum conhece a realidade de uma mulher que decidiu abortar, o corpo e dela e os motivos tambem. O que não podemos e jogar na cadeia alguem que chegou ao desespero de não querer ser mãe. E mais: estando no Código Penal ou não, milhões de mulheres abortam anualmente. O problema e que as pobres fazem isso dentro de casa tomando verdadeiros venenos. A rica não, ela vai ao medico amigo da família e ta tudo certo. Francamente, crime no Brasil não e abortar. Crime no Brasil e ser pobre. E a pena se paga com a vida.",1
"Que lei machista e misógina. O corpo e da mulher e ela que tem o direito de escolher se quer ou não interromper a gravidez. Isso e reflexo do nosso congresso que e formado por homens conservadores. Mas a lei esta errada, o aborto só proibido para mulheres pobres, as mulheres ricas e de classe media pagam clínicas e fazem o procedimento de forma segura.",1
Crime e fechar os olhos pras milhares de mulheres que morrem em açougues!!! Num país dito laico se utilizar de prerrogativas religiosas pra criminalizar algo que simplesmente vai ocorrer sendo legal ou ilegal e que se configura como crime!!! e uma questão de saúde pública e a omissão e negligência a essa questão e vergonhosa e criminosa!!! Não adianta tapar o sol com a peneira!!!,1
"e crime, mesmo assim uma infinidade de mulheres o fazem, e uma pratica social e cultural da sociedade brasileira... por isso deveria ser permitido, para que as mulheres pobres (que não podem pagar clínicas) parem de morrer.",1
"Os únicos países que tem esses projetos, são justamente os países que liberaram o aborto. Foi assim q diminuíram o número de aborto, legalizando e quando a mulher vai la p abortar, eles criam um projeto com elas p mostrar o como pode ser viavel essa gravidez pq muitas abortam por falta de apoio do parceiro, pq muitos abandonam ainda na gravidez e por falta de apoio familiar. Então antes de chegar de fato a abortar, os profissionais tentam essas mediações p q o aborto não ocorra. Mas caso a mulher ainda quiser, ela tem o direito pq significa q ter a criança vai fazer mal p vida dela e consequentemente ela não vai criar vínculo com a criança e essa criança vai ter milhões de problemas psicológicos devido a mãe não conseguir ser afetiva com ela.",1
"e crime pra quem?? só se for pra mulher pobre da periferia. pras madames q podem pagar 4000,00 numa clínica clandestina ta td certo.",1
"Proteger a vida humana, sim, mas e a vida d milhares d mulheres q morrem por abortos clandestinos todos os anos?",1
"Só se preocupam c a vida ate nascer, depois q se dane a criança.. Quero ver aqui quem ja adotou uma criança abandonada. Eu apadrinho um menino abandonado, e e a coisa mais triste do mundo. A maioria das pessoas q e contra o aborto tem pai e mãe q se esforçaram pra dar uma vida digna pros filhos, mas nem todo mundo tem esse mesmo pensamento. e mais facil atirar o filho na rua do q lutar pra sustentar. N adianta virmos aqui usando o nosso micro recorte social saudavel e em alguns casos, privilegiado, pra julgar políticas públicas q n nos dizem respeito. Eu n faria um aborto jamais, tenho uma vida estruturada e feliz, mas infelizmente, essa n e a realidade da maioria das pessoas",1
"E os homens? Mulheres transam com objetos que ejaculam ou transam com homens q tbm são responsaveis pelas suas atitudes e pelas consequências. Ja vi muitos casos de homens q tiram a camisinha e penetram a mulher, sem o consentimento de transar sem camisinha. Homem tbm pod e tomar anticoncepcional pq ja existem os masculinos. Homem pode fazer vasectomia. Homem pode ficar ao lado da mulher e assim ela não precisar abortar pq sozinha não tem condições. Quer ser contra o aborto? OK, mas vamos culpar o homem tbm ne, pq a mulher não engravida sozinha, não somos todas virgens marias q engravidam do espírito santo.",1
"Felipe, ja te ocorreu que a maior parte dessas mulheres que abortam não correspondem ao perfil que esta no seu imaginario? Devassas irresponsaveis que trepam com geral? Muitas são mulheres casadas, que dão sem a menor vontade, que ja têm outros filhos e não têm condições de sustentar outros. Vale lembrar que nenhuma delas fez filho sozinho, cadê seu caminhão de críticas para os manos que trepam sem camisinha?",1
"Só pode ser proposital: escancarar o próprio atraso e medievalidade no facebook deve ser uma estrategia pra perceber que isso precisa mudar urgente. Essa e parte da política atrasada, machista, violenta, homicida, perigosa e assassina que nosso senado PERMITE existir. A culpa e da câmara e do Senado.",1
"Lei que pune somente as mulheres pobres, muitas vezes com a própria vida! Essa lei nos mostra como ainda precisamos evoluir em questão do direito das mulheres. Uma vergonha essa lei! O corpo e nosso e a escolha tb e exclusivamente nossa! Lei criada na moral religiosa. Pq eu, uma ateia, que sigo exclusivamente o que me diz a ciência (e a ciência diz que ate os 3 meses ainda não e considerado vida) deveria seguir essa lei arcaica medieval? Nunca precisei fazer um aborto mas se tivesse precisado teria feito sim! Evoluam, melhorem, por favor!",1
"Sempre quando se fala de gravidez indesejada ou não programada ou sem condições, pensam em mulheres de baixa renda e q usam se dos metodos mais barbaros de aborto q existem, causando infecção, trauma, sem contar a clínica clandestina ou especialista que se aproveita do desespero dessas pessoas. Mas quando pensamos nas patricinhas que tem condições tambem, a diferença e o acesso aos remedios que não são vendidos e muitas vezes fornecidos por medicos particulares pagando uma bagatela de 4mil reais.",1
"Vocês tinham e que ter vergonha de ficar colocando e batendo em cima de uma lei retrograda e machista. Vocês veem a vida no feto, mas não veem nas inumeras crianças que dependem da saúde publica que não e efetivada, daquelas que moram na rua e não existem politicas publicas coerentes com a situação das mesmas, tal como das crianças que estão em trabalho escravo e das condições dos lares adotivos. Veem a vida no feto mas não enxergam a mesma vida nas milhares de mulheres que são violentadas fisicamente e psicologicamente nas maternidades publicas, e muito menos naquelas que morrem em clinicas clandestinas. Quanta coerencia, Senado Federal!",1
